0,0,2,15,39,82
1,1,5,8,90,230
2,0,2,15,48,305
3,1,4,12,27,15
4,0,0,14,94,373
5,0,0,5,63,67
6,1,0,21,92,574
7,1,2,15,10,260
8,1,5,8,65,551
9,0,3,10,91,222
10,0,2,4,70,122
11,1,0,18,60,192
12,0,3,13,77,307
13,1,5,17,108,274
14,1,1,18,92,316
15,1,1,22,115,518
16,1,4,24,120,528
17,0,0,1,48,524
18,1,5,12,112,67
19,1,3,7,56,275
20,1,3,2,47,508
21,0,4,21,52,253
22,0,1,18,38,508
23,0,2,7,52,349
24,1,4,20,106,510
25,0,5,1,4,492
26,0,4,7,101,151
27,0,1,2,113,223
28,0,2,8,51,29
29,1,4,2,110,78
30,1,5,22,102,276
31,1,5,1,48,76
32,1,1,17,92,513
33,0,3,14,121,94
34,0,3,17,5,565
35,1,4,21,44,181
36,0,4,10,81,394
37,0,2,7,46,285
38,1,3,17,22,224
39,0,2,10,42,517
40,0,3,10,13,215
41,1,0,15,27,220
42,0,5,11,78,377
43,1,2,20,102,107
44,1,0,11,116,98
45,0,2,5,90,593
46,1,0,8,22,547
47,1,4,16,80,548
48,1,0,25,44,92
49,0,0,2,113,586
50,0,4,21,93,178
51,1,3,4,24,569
52,0,0,13,36,247
53,1,0,15,54,91
54,1,5,5,116,412
55,0,5,10,68,57
56,1,4,24,6,409
57,0,0,20,83,199
58,0,0,10,17,480
59,0,5,13,88,43
60,1,5,6,125,77
61,0,4,8,107,512
62,0,2,10,100,434
63,0,3,7,120,528
64,1,2,0,47,342
65,1,3,8,9,472
66,1,4,5,12,571
67,1,2,2,22,518
68,0,1,16,106,338
69,1,0,22,103,226
70,1,2,25,54,148
71,0,4,15,52,209
72,1,1,12,28,110
73,0,2,18,19,532
74,0,3,19,73,506
75,1,1,23,43,492
76,1,2,15,96,151
77,0,3,6,74,424
78,1,1,20,46,106
79,1,1,23,48,81
80,0,0,5,116,385
81,1,5,6,54,251
82,0,0,1,23,150
83,0,1,22,28,443
84,1,4,24,36,377
85,0,3,23,14,187
86,0,0,5,22,492
87,0,3,12,115,375
88,0,1,15,53,227
89,1,0,18,50,615
90,1,1,0,6,544
91,0,4,23,38,92
92,1,2,13,110,113
93,0,3,13,113,359
94,1,1,16,81,153
95,1,0,14,11,349
96,1,1,6,117,191
97,0,3,25,42,309
98,0,5,1,72,64
99,1,1,4,98,301
100,1,0,13,23,46
101,1,3,0,123,525
102,0,4,14,66,72
103,1,4,16,55,1
104,0,5,15,77,220
105,1,3,11,32,496
106,1,4,0,68,579
107,0,0,16,91,452
108,1,2,24,10,469
109,0,1,19,113,125
110,1,3,19,98,107
111,0,2,21,33,339
112,1,4,13,40,589
113,0,3,8,59,20
114,1,1,12,94,199
115,0,4,20,88,41
116,1,5,17,81,236
117,1,2,20,51,565
118,0,5,16,18,157
119,1,4,16,102,267
120,0,4,20,25,258
121,0,2,20,95,141
122,1,2,1,16,511
123,1,2,16,125,89
124,1,0,7,45,136
125,0,3,17,20,164
126,0,1,24,67,490
127,0,2,17,42,276
128,0,3,3,78,231
129,1,2,13,3,182
130,0,4,3,8,483
131,1,3,13,63,56
132,0,3,16,23,84
133,1,1,5,106,286
134,0,3,15,87,211
135,1,4,1,89,359
136,0,5,17,43,468
137,0,3,15,81,561
138,0,0,2,4,594
139,0,3,1,79,450
140,1,1,7,0,203
141,0,1,8,100,436
142,0,0,13,98,323
143,0,4,25,11,225
144,1,2,4,73,405
145,1,2,25,80,161
146,1,3,14,12,378
147,1,2,2,74,388
148,0,1,16,99,248
149,1,1,16,17,419
150,0,1,8,29,184
151,1,5,17,113,143
152,1,4,20,46,152
153,0,2,0,3,582
154,0,4,2,60,111
155,0,1,9,17,449
156,1,0,14,78,597
157,0,4,22,1,426
158,0,2,17,40,110
159,1,5,23,41,71
160,0,0,1,40,252
161,1,3,10,84,539
162,0,2,16,22,509
163,1,5,0,106,397
164,0,4,9,71,539
165,0,4,23,34,46
166,0,5,1,19,68
167,1,1,4,28,465
168,1,5,21,50,474
169,1,5,17,32,144
170,1,5,21,110,589
171,0,5,23,38,562
172,1,1,16,83,180
173,0,3,3,112,522
174,0,4,23,43,551
175,1,5,3,50,430
176,1,2,19,88,155
177,0,4,1,21,94
178,0,3,3,76,376
179,0,3,15,77,615
180,0,3,7,98,297
181,1,1,16,103,240
182,1,4,22,104,272
183,1,2,3,26,561
184,0,3,25,34,524
185,0,2,9,36,78
186,0,1,21,17,439
187,0,0,0,58,318
188,1,3,24,106,106
189,1,3,5,54,299
190,0,3,21,65,328
191,1,3,14,78,276
192,1,1,5,31,415
193,1,4,9,98,366
194,0,5,10,59,347
195,0,4,14,118,380
196,1,0,15,85,413
197,0,1,22,52,542
198,1,0,5,39,386
199,1,5,23,19,447
200,1,3,12,120,119
201,1,1,9,37,281
202,0,4,8,122,377
203,1,2,3,15,265
204,0,3,20,3,281
205,0,3,7,47,591
206,0,2,3,46,549
207,1,4,1,43,514
208,1,3,25,63,379
209,0,2,14,79,221
210,0,4,17,4,221
211,0,3,10,13,416
212,1,1,0,53,278
213,1,0,10,53,616
214,1,2,4,81,591
215,1,1,0,24,188
216,1,1,17,79,90
217,0,1,21,101,496
218,0,1,6,48,393
219,1,1,24,84,219
220,1,2,11,102,148
221,1,0,21,57,293
222,1,4,8,18,601
223,0,0,0,38,135
224,0,3,13,57,509
225,0,2,20,44,595
226,1,2,1,42,252
227,1,2,18,64,238
228,1,3,0,11,317
229,0,1,17,68,1
230,1,1,13,32,22
231,1,2,25,39,330
232,1,1,6,67,474
233,0,2,17,74,521
234,0,2,18,28,104
235,0,3,15,123,295
236,1,5,6,124,353
237,0,2,5,70,216
238,0,5,14,93,228
239,1,5,22,97,59
240,0,1,12,117,7
241,1,3,10,10,592
